id,player_id,edition_id,place,last_place,points,appearances,goals,percentage_of_appearances,wins,draws,losts,goals_scored_by_team,goals_suffered_by_team,matchweek,name
1,1,1,10,,25.4,12,34,92.31,3,1,8,112,122,13,Player: Pedro Pacheco in Edition: 1ª Edição MasterLeague
2,2,1,6,,31.7,12,17,92.31,6,0,6,108,120,13,
3,3,1,9,,26.1,12,11,92.31,4,1,7,113,121,13,
4,4,1,8,,29.8,13,8,100.0,5,1,7,115,133,13,
5,5,1,1,,39.0,12,20,92.31,8,1,3,119,100,13,
6,6,1,11,,20.4,10,4,76.92,3,1,6,75,89,13,
7,7,1,4,,32.3,9,13,69.23,7,1,1,105,78,13,
8,8,1,7,,30.1,9,21,69.23,6,1,2,100,83,13,
9,9,1,5,,32.0,11,20,84.62,6,1,4,103,100,13,
10,10,1,3,,32.6,12,16,92.31,6,1,5,119,114,13,
11,11,1,12,,0.0,0,0,0.0,0,0,0,0,0,13,
12,12,1,2,,32.9,13,39,100.0,5,1,7,121,127,13,
13,1,2,2,,36.1,11,31,91.67,7,1,3,131,98,12,
14,13,2,11,,12.7,3,7,25.0,3,0,0,30,22,12,
15,14,2,5,,27.0,10,10,83.33,5,1,4,113,100,12,
16,15,2,10,,13.1,6,1,50.0,2,1,3,48,54,12,
17,16,2,9,,16.1,8,21,66.67,2,0,6,70,97,12,
18,17,2,7,,23.9,12,19,100.0,3,1,8,111,138,12,
19,18,2,12,,8.5,5,5,41.67,1,0,4,36,51,12,
20,19,2,3,,33.7,10,27,83.33,7,0,3,121,94,12,
21,20,2,6,,24.8,10,18,83.33,4,1,5,114,99,12,
22,21,2,1,,36.6,11,36,91.67,7,1,3,124,108,12,
23,22,2,4,,27.4,7,14,58.33,6,1,0,84,54,12,
24,23,2,8,,22.5,11,15,91.67,3,1,7,94,139,12,
25,1,3,1,,0.0,0,0,0.0,0,0,0,0,0,0,
26,14,3,2,,0.0,0,0,0.0,0,0,0,0,0,0,
27,15,3,3,,0.0,0,0,0.0,0,0,0,0,0,0,
28,17,3,4,,0.0,0,0,0.0,0,0,0,0,0,0,
29,19,3,5,,0.0,0,0,0.0,0,0,0,0,0,0,
30,20,3,6,,0.0,0,0,0.0,0,0,0,0,0,0,
31,21,3,7,,0.0,0,0,0.0,0,0,0,0,0,0,
32,22,3,8,,0.0,0,0,0.0,0,0,0,0,0,0,
33,23,3,9,,0.0,0,0,0.0,0,0,0,0,0,0,
34,24,3,10,,0.0,0,0,0.0,0,0,0,0,0,0,
35,25,3,11,,0.0,0,0,0.0,0,0,0,0,0,0,
36,26,3,12,,0.0,0,0,0.0,0,0,0,0,0,0,
